Price,Adj Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,GETN3.SA,ALLD3.SA,BMOB3.SA,DTCY3.SA,ENJU3.SA,GETN3.SA,INTB3.SA,LWSA3.SA,NEXP3.SA,NGRD3.SA,POSI3.SA,SYNE3.SA,TOTS3.SA,TRAD3.SA,VSTE3.SA,WEGE3.SA,ALLD3.SA,BMOB3.SA,DTCY3.SA,ENJU3.SA,GETN3.SA,INTB3.SA,LWSA3.SA,NEXP3.SA,NGRD3.SA,POSI3.SA,SYNE3.SA,TOTS3.SA,TRAD3.SA,VSTE3.SA,WEGE3.SA,ALLD3.SA,BMOB3.SA,DTCY3.SA,ENJU3.SA,GETN3.SA,INTB3.SA,LWSA3.SA,NEXP3.SA,NGRD3.SA,POSI3.SA,SYNE3.SA,TOTS3.SA,TRAD3.SA,VSTE3.SA,WEGE3.SA,ALLD3.SA,BMOB3.SA,DTCY3.SA,ENJU3.SA,GETN3.SA,INTB3.SA,LWSA3.SA,NEXP3.SA,NGRD3.SA,POSI3.SA,SYNE3.SA,TOTS3.SA,TRAD3.SA,VSTE3.SA,WEGE3.SA,ALLD3.SA,BMOB3.SA,DTCY3.SA,ENJU3.SA,GETN3.SA,INTB3.SA,LWSA3.SA,NEXP3.SA,NGRD3.SA,POSI3.SA,SYNE3.SA,TOTS3.SA,TRAD3.SA,VSTE3.SA,WEGE3.SA
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-28,,,,5.1459808349609375,,,,,229.7523193359375,,7.335056781768799,7.582021236419678,23.337186813354492,,138.54275512695312,19.565969467163086,,,5.1459808349609375,,,,,244.4173583984375,,7.694388653553362,7.582021236419678,23.44048966780133,,141.55110545144083,19.747611721226505,,,5.0128960609436035,,,,,219.97561645507812,,7.225694648627902,7.150022541033439,22.523279550446123,,133.39688438508728,18.969815741041856,,,5.057257175445557,,,,,236.67747497558594,,7.5381568219324855,7.1999816195903925,22.754930769748707,,136.6427420114932,19.072280328973285,,,1577,,,,,8451,,1133800,652000,4865324,,24525.0,8750200
2020-01-29,,,,5.1459808349609375,,,,,217.12408447265625,,7.014782428741455,7.67606258392334,23.008495330810547,,140.68026733398438,19.74295425415039,,,5.1459808349609375,,,,,232.1964874267578,,7.4834764541003755,7.676062583923339,23.415448983729856,,140.68026733398438,20.6232130894292,,,5.1459808349609375,,,,,214.27255249023438,,6.921043772663395,7.349859142901484,22.78936685515429,,135.6135508884984,19.72898245571052,,,5.1459808349609375,,,,,230.15968322753906,,7.358491579329629,7.5790832582851575,23.415448983729856,,139.01774651750833,19.72898245571052,,,0,,,,,4983,,1235500,252900,4893293,,11387.0,16032600
2020-01-30,,,,5.1459808349609375,,,,,204.0885009765625,,6.639827728271484,7.784797191619873,22.7580623626709,,139.1761016845703,19.08159637451172,,,5.1459808349609375,,,,,212.64309692382812,,6.952289911614463,7.784797191619873,23.133710931491585,,140.046946747033,19.887335989094947,,,4.897554874420166,,,,,200.82960510253906,,6.5617118099514355,7.267573901418564,22.269719761894407,,134.58439925515756,18.88132563934428,,,5.0128960609436035,,,,,212.64309692382812,,6.952289911614463,7.490920360404965,22.538933881222608,,138.62193304480786,19.46816426974953,,,5071,,,,,9760,,1328500,905100,8180650,,19912.0,16845200
2020-01-31,,,,5.101618766784668,,,,,192.68235778808594,,5.827425956726074,7.620225429534912,23.36849021911621,,134.5843963623047,18.355031967163086,,,5.234704971313477,,,,,209.3842010498047,,6.241438582085442,7.787735114001042,23.36849021911621,,138.46359185722267,19.319125108945002,,,4.968533992767334,,,,,192.68235778808594,,5.35092051524203,7.464470525465709,22.23528321899457,,133.47605910660315,18.275856076845102,,,4.968533992767334,,,,,204.0885009765625,,5.38997847875941,7.787735114001042,22.23528321899457,,138.46359185722267,19.002417994316538,,,1239,,,,,7992,,9618000,345100,6514567,,17450.0,19359800
2020-02-03,,,,5.1459808349609375,,,,,197.97805786132812,,5.4680938720703125,7.5232462882995605,24.548656463623047,,134.66355895996094,18.941862106323242,,,5.1459808349609375,,,,,201.64431762695312,,5.827425784890823,7.784796464275654,24.739611435343182,,137.67190926578527,19.132819401145387,,,5.1459808349609375,,,,,188.60873413085938,,5.4680938720703125,7.502675001720612,23.21197166158211,,134.18855945903329,18.47611676678234,,,5.1459808349609375,,,,,191.46026611328125,,5.741498491176961,7.617286775817908,23.36849174752893,,134.66355895996094,18.53666415839235,,,563,,,,,14161,,4731900,292900,8362897,,12212.0,12672200
2020-02-04,,,,5.1459808349609375,,,,,197.57069396972656,,5.413412570953369,7.75834846496582,24.41717529296875,,136.0093994140625,18.872005462646484,,,5.190342903137207,,,,,203.68113708496094,,5.6477595902954825,7.846511853293344,24.983780555977273,,138.14691975455375,19.59856898944534,,,5.1459808349609375,,,,,194.7191619873047,,5.35092013179129,7.523247217143604,24.270046394376696,,134.90106224490174,18.82542985258882,,,5.1459808349609375,,,,,203.68113708496094,,5.608701629577024,7.552635013252778,24.977519178707045,,134.90106224490174,19.40295498055886,,,1803,,,,,11903,,3751400,265100,6441487,,14262.0,11099200
2020-02-05,,,,5.1459808349609375,,,,,186.57191467285156,,5.233746528625488,7.699572563171387,24.49543571472168,,136.16773986816406,19.267892837524414,,,5.1459808349609375,,,,,200.01487731933594,,5.538397722824864,7.817123173798514,25.240473155910806,,140.1261042236344,19.430904845451803,,,5.1459808349609375,,,,,186.16455078125,,5.233746528625488,7.514429860973828,24.49543571472168,,135.85106347174482,19.021048265439102,,,5.1459808349609375,,,,,199.60751342773438,,5.468093543781268,7.758347588222187,24.66134694603971,,137.35524615481282,19.021048265439102,,,0,,,,,13761,,3590600,1302800,6694107,,10900.0,10505000
2020-02-06,,,,5.1459808349609375,,,,5.008057594299316,179.23939514160156,,5.155631065368652,7.520306587219238,24.00083351135254,,134.5843963623047,19.952539443969727,,,5.1459808349609375,,,,5.292495830168739,197.57069396972656,,5.444658782298211,7.784795568046522,24.764653399569568,,140.12611284073756,20.297191932896496,,,5.1459808349609375,,,,4.784396755293491,179.23939514160156,,5.038457555874846,7.520306587219238,23.69092492575444,,134.03022773445392,19.40295955253516,,,5.1459808349609375,,,,4.813569646118963,190.64553833007812,,5.280616315988063,7.773040788722764,24.598742144088327,,137.03857818562776,19.52405261386289,,,1577,,,,86956800.0,20564,,4752300,364900,7641729,,28237.0,12966000
2020-02-07,,,,5.1459808349609375,,,,4.935123443603516,169.8700714111328,,4.999399662017822,7.537940502166748,23.622053146362305,,130.15103149414062,19.142139434814453,,,5.1459808349609375,,,,5.3484098443246415,182.09092712402344,,5.116573164347204,7.582021914121705,24.27317894811118,,134.58439559151878,20.19938193828961,,,5.1459808349609375,,,,4.918105850108171,167.833251953125,,4.9369072267712975,7.370430800422575,23.44675073652011,,128.726017830707,19.142139434814453,,,5.1459808349609375,,,,4.983745536757053,179.23939514160156,,5.1087614236992405,7.537940502166748,24.01335422647325,,134.58439559151878,19.96650918712798,,,112,,,,12471600.0,9728,,2855800,180300,6007825,,20512.0,7877000
2020-02-10,,,,5.1459808349609375,,,,4.910813331604004,162.53753662109375,,5.233746528625488,7.170594215393066,23.33092498779297,,128.96351623535156,19.342405319213867,,,5.1459808349609375,,,,5.008057063540831,173.94369506835938,,5.5540208323362945,7.6143482758742564,23.919442397701303,,131.10102148292842,19.70102947976814,,,5.1459808349609375,,,,4.71632540403566,161.31546020507812,,5.038457473490443,7.023655807042694,23.04292676250356,,122.70929338884197,18.778853828347582,,,5.1459808349609375,,,,5.008057063540831,171.09214782714844,,5.343108667689819,7.599654659249437,23.715964688063767,,129.91351521206093,19.13282131677829,,,112,,,,12146800.0,11387,,9422900,786500,4994942,,12950.0,9330400
